"","org","category","type","expense name","description","expectedattendees","event off campus","collabhso","collabrso","speaker","eventtotal","eventsplanned","actual","attendactual","eventsactual","externalreceived","totalrollover","date","amount"
"49","Asian Policy Forum","speaker","services","U.S. Decoupling Energy from China: A Policy Conversation with Samir Mayekar","As the U.S. faces growing calls to reduce its reliance on Chinese-controlled energy technologies—ranging from solar panels to critical minerals and battery components—this event asks a fundamental question: Should the U.S. pursue energy decoupling? Join Samir Mayekar, former Deputy Mayor of Chicago and a leader at the intersection of public policy and private infrastructure, as he offers a top-down analysis of the risks, tradeoffs, and unintended consequences of energy decoupling. With global climate goals, domestic industrial policy, and national security all on the line, Mayekar will unpack what a strategic energy future might look like—and whether decoupling is part of it.",40,"FALSE","TRUE - Harris Energy and Environmental Association","FALSE","TRUE (Samir Mayekar: Woman and POC)",910,3,12992,NA,8,1200,3310,NA,NA
"50","Asian Policy Forum","speaker","miscellaneous","U.S. Decoupling Energy from China: A Policy Conversation with Samir Mayekar","As the U.S. faces growing calls to reduce its reliance on Chinese-controlled energy technologies—ranging from solar panels to critical minerals and battery components—this event asks a fundamental question: Should the U.S. pursue energy decoupling? Join Samir Mayekar, former Deputy Mayor of Chicago and a leader at the intersection of public policy and private infrastructure, as he offers a top-down analysis of the risks, tradeoffs, and unintended consequences of energy decoupling. With global climate goals, domestic industrial policy, and national security all on the line, Mayekar will unpack what a strategic energy future might look like—and whether decoupling is part of it.",40,"FALSE","TRUE - Harris Energy and Environmental Association","FALSE","TRUE (Samir Mayekar: Woman and POC)",910,3,12992,NA,8,1200,3310,NA,NA
"51","Asian Policy Forum","speaker","refreshments","Speaker Series Event in Forum: Cyber Attacks and AI","A series of speakers will take place throughout the Spring quarter, with three events at the Keller Center Forum. We are currently in communication with prospective speakers and hope to have five of them participate across three events. It will be in the format of Q&A followed by a reception.",100,"FALSE","TRUE (European Policy Forum)","FALSE","TRUE (POC)",700,3,12992,NA,8,1200,3310,NA,700
"52","Asian Policy Forum","speaker","supplies","Speaker Series Event in Forum: Cyber Attacks and AI","A series of speakers will take place throughout the Spring quarter, with three events at the Keller Center Forum. We are currently in communication with prospective speakers and hope to have five of them participate across three events. It will be in the format of Q&A followed by a reception.",100,"FALSE","TRUE (European Policy Forum)","FALSE","TRUE (POC)",700,3,12992,NA,8,1200,3310,NA,0
"53","Asian Policy Forum","speaker","equipment","Speaker Series Event in Forum: Cyber Attacks and AI","A series of speakers will take place throughout the Spring quarter, with three events at the Keller Center Forum. We are currently in communication with prospective speakers and hope to have five of them participate across three events. It will be in the format of Q&A followed by a reception.",100,"FALSE","TRUE (European Policy Forum)","FALSE","TRUE (POC)",700,3,12992,NA,8,1200,3310,NA,0
"54","Asian Policy Forum","speaker","services","Speaker Series Event in Forum: Cyber Attacks and AI","A series of speakers will take place throughout the Spring quarter, with three events at the Keller Center Forum. We are currently in communication with prospective speakers and hope to have five of them participate across three events. It will be in the format of Q&A followed by a reception.",100,"FALSE","TRUE (European Policy Forum)","FALSE","TRUE (POC)",700,3,12992,NA,8,1200,3310,NA,0
"55","Asian Policy Forum","speaker","miscellaneous","Speaker Series Event in Forum: Cyber Attacks and AI","A series of speakers will take place throughout the Spring quarter, with three events at the Keller Center Forum. We are currently in communication with prospective speakers and hope to have five of them participate across three events. It will be in the format of Q&A followed by a reception.",100,"FALSE","TRUE (European Policy Forum)","FALSE","TRUE (POC)",700,3,12992,NA,8,1200,3310,NA,0
"56","Black Action in Public Policy Studies (BAPPS)","social","refreshments","General Body Meeting","BAPPS hosts general body meetings to maintain connection with its membership and to ensure that information is being shared about upcoming programming. This quarter, because of budget restrictions, we are only aiming to host one General Body Meeting that will be dedicated to elections and Board transition for the 2025-2026 academic year. This general body meeting will be Town Hall style as individuals can learn about the issues important to different individuals running for Board positions and discuss the activities and shared goals for the upcoming year. We will provide snacks for this meeting.",30,"FASLE","FALSE","FALSE","FALSE",105,9,6309.54,NA,10,15963.24,16138.22,NA,105
"57","Black Action in Public Policy Studies (BAPPS)","social","supplies","General Body Meeting","BAPPS hosts general body meetings to maintain connection with its membership and to ensure that information is being shared about upcoming programming. This quarter, because of budget restrictions, we are only aiming to host one General Body Meeting that will be dedicated to elections and Board transition for the 2025-2026 academic year. This general body meeting will be Town Hall style as individuals can learn about the issues important to different individuals running for Board positions and discuss the activities and shared goals for the upcoming year. We will provide snacks for this meeting.",30,"FASLE","FALSE","FALSE","FALSE",105,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"58","Black Action in Public Policy Studies (BAPPS)","social","equipment","General Body Meeting","BAPPS hosts general body meetings to maintain connection with its membership and to ensure that information is being shared about upcoming programming. This quarter, because of budget restrictions, we are only aiming to host one General Body Meeting that will be dedicated to elections and Board transition for the 2025-2026 academic year. This general body meeting will be Town Hall style as individuals can learn about the issues important to different individuals running for Board positions and discuss the activities and shared goals for the upcoming year. We will provide snacks for this meeting.",30,"FASLE","FALSE","FALSE","FALSE",105,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"59","Black Action in Public Policy Studies (BAPPS)","social","services","General Body Meeting","BAPPS hosts general body meetings to maintain connection with its membership and to ensure that information is being shared about upcoming programming. This quarter, because of budget restrictions, we are only aiming to host one General Body Meeting that will be dedicated to elections and Board transition for the 2025-2026 academic year. This general body meeting will be Town Hall style as individuals can learn about the issues important to different individuals running for Board positions and discuss the activities and shared goals for the upcoming year. We will provide snacks for this meeting.",30,"FASLE","FALSE","FALSE","FALSE",105,9,6309.54,NA,10,15963.24,16138.22,NA,NA
